Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
5'-3' exoribonuclease 2,Q9H0D6,0.224,0.676,1.167,0.466,0.226,1.024,0.054,0.227,0.054,0.105,-2.179,0.849,-0.651,-0.769,0.545,0.068,-0.119,0.559,18,-0.48,-1.4,0.07839
5'-AMP-activated protein kinase catalytic subunit alpha-1,Q13131,,,,0.109,-0.383,0.003,-0.388,-1.807,-0.201,,,,-0.608,-0.755,-0.422,0.423,-0.772,0.689,12,0.21,1.2,0.60858
5'-AMP-activated protein kinase subunit beta-1,Q9Y478,,,,0.027,-0.265,0.465,,,,,,,-0.226,-0.306,-0.478,,,,6,-0.44,-1.4,0.14068
5-formyltetrahydrofolate cyclo-ligase,P49914,,,,,,,0.943,0.318,0.531,,,,,,,0.239,1.130,0.252,6,-0.02,-1.0,0.87661
5'-nucleotidase domain-containing protein 1,Q5TFE4,0.678,1.223,0.506,1.332,0.229,0.814,1.458,1.072,0.501,1.369,0.851,-0.212,1.983,0.826,-0.768,-0.617,0.077,1.923,18,0.00,1.0,0.49031
5-phosphohydroxy-L-lysine phospho-lyase,Q8IUZ5,,,,-0.314,-0.235,0.296,-0.203,0.368,0.036,,,,0.935,-0.832,0.789,0.234,-0.164,0.368,12,0.32,1.2,0.44674
"60 kDa heat shock protein, mitochondrial",P10809,0.522,-0.727,-2.484,-0.324,-0.497,-0.497,0.361,-1.517,-1.403,-0.089,-0.993,1.266,-0.617,-0.165,-0.404,-1.370,1.649,-0.225,18,0.71,1.6,0.18877
60 kDa SS-A/Ro ribonucleoprotein,P10155,0.071,-0.009,0.829,0.747,-0.489,0.573,0.114,0.086,0.139,0.589,0.470,-1.099,-0.118,-0.077,0.215,0.260,0.114,0.139,18,-0.16,-1.1,0.42800
60S acidic ribosomal protein P0,P05388,0.506,1.050,-0.876,1.075,0.012,-0.400,0.147,-0.199,-1.222,0.134,0.174,-0.132,0.982,-0.984,0.171,0.785,0.320,1.024,18,0.19,1.1,0.44197
60S acidic ribosomal protein P1,P05386,0.331,0.663,-0.294,0.703,0.145,0.503,0.348,0.720,-0.290,0.437,1.088,0.118,0.317,0.477,0.198,0.508,1.159,-0.102,18,0.16,1.1,0.43894
60S acidic ribosomal protein P2,P05387,-0.124,0.368,-0.814,0.181,-0.934,-2.065,-1.562,-1.545,-0.814,-0.629,0.022,-2.224,0.195,-0.270,-0.510,0.221,0.381,-0.084,18,0.43,1.3,0.21769
60S ribosomal protein L10,P27635,-0.565,-0.339,0.352,-0.155,0.297,0.403,-0.038,0.321,-0.449,0.339,0.245,-0.232,-0.155,-0.208,-0.380,1.078,0.189,-1.299,18,0.05,1.0,0.91204
60S ribosomal protein L10a,P62906,0.058,0.363,-3.149,-0.316,-0.741,0.242,-1.097,0.139,-0.857,0.230,0.244,-0.169,0.202,-1.324,-0.487,-0.127,-0.288,-0.193,18,0.18,1.1,0.35080
60S ribosomal protein L11,P62913,0.014,-0.053,0.147,0.030,-0.290,-0.210,-0.110,0.435,-0.536,-0.172,0.121,-1.022,-0.263,-0.223,-0.010,-0.017,-0.402,-0.336,18,-0.19,-1.1,0.19450
60S ribosomal protein L12,P30050,-0.105,0.865,-0.158,0.728,-0.229,-0.336,-0.677,0.015,-0.065,0.134,0.267,-0.863,0.383,-0.987,0.582,0.626,-0.091,0.333,18,0.05,1.0,0.88328
60S ribosomal protein L13,P26373,-1.643,-0.553,1.123,-0.580,-0.608,-0.328,0.136,0.190,-0.967,-0.220,-0.152,-2.106,-0.967,-1.059,-0.010,0.136,-1.577,-1.471,18,-0.48,-1.4,0.22939
60S ribosomal protein L14,P50914,0.592,1.031,0.180,0.466,-0.026,-0.026,-0.671,0.071,-0.035,-0.166,0.353,-1.361,0.665,-0.437,-0.012,0.590,0.005,0.670,18,-0.10,-1.1,0.60736
60S ribosomal protein L15,P61313,,,,0.199,-0.744,0.612,,,,,,,0.040,0.013,-0.637,,,,6,-0.29,-1.2,0.66056
60S ribosomal protein L17,P18621,0.044,-0.088,-0.142,-0.033,-0.073,-0.233,-0.980,0.826,-0.928,-0.142,0.602,-1.469,0.152,-0.498,-0.511,0.839,-0.091,-0.862,18,0.02,1.0,0.89143
60S ribosomal protein L18,Q07020,,,,,,,1.515,1.648,2.139,,,,,,,2.126,0.771,0.731,6,-0.43,-1.3,0.32372
60S ribosomal protein L18a,Q02543,,,,,,,-0.039,0.186,0.000,,,,,,,0.013,-0.385,-0.571,6,-0.35,-1.3,0.12224
60S ribosomal protein L19,P84098,,,,,,,1.050,0.970,1.130,,,,,,,1.262,0.346,0.492,6,-0.29,-1.2,0.29140
60S ribosomal protein L21,P46778,-0.309,-0.241,0.091,,,,-0.224,0.002,0.202,0.157,0.104,-0.374,,,,0.149,-0.210,-0.490,12,-0.02,-1.0,0.83472
60S ribosomal protein L22,P35268,-0.173,-0.093,-0.293,-0.051,-0.277,-0.196,0.437,0.463,0.090,-0.120,0.053,-0.252,-0.065,-0.171,-0.117,0.237,0.211,-2.315,18,-0.17,-1.1,0.34118
60S ribosomal protein L23,P62829,-0.024,-0.263,-0.236,0.155,0.288,-0.469,0.280,-0.450,-0.053,-0.143,-0.183,0.042,-0.309,-0.389,-0.083,0.798,0.014,-1.395,18,-0.03,-1.0,0.65349
60S ribosomal protein L23a,P62750,-0.444,-0.510,-1.215,-0.522,-0.269,0.262,0.314,0.593,-0.204,-0.537,0.180,-0.284,-2.011,0.369,-0.640,-0.351,0.473,-3.635,18,-0.21,-1.2,0.31576
60S ribosomal protein L24,P83731,-0.327,0.151,0.138,0.120,-0.411,0.625,-0.059,0.393,0.167,0.350,0.842,-0.725,0.319,-0.211,-0.013,0.645,0.113,-0.829,18,0.03,1.0,0.87950
60S ribosomal protein L26,P61254,,,,,,,0.172,0.239,-0.253,,,,,,,0.252,-0.160,-0.080,6,-0.05,-1.0,0.81906
60S ribosomal protein L27,P61353,,,,1.239,0.655,0.947,0.913,1.299,1.432,,,,0.456,0.415,0.587,1.339,0.661,-1.345,12,-0.57,-1.5,0.08754
60S ribosomal protein L27a,P46776,-0.460,0.204,0.297,,,,0.062,0.766,0.500,-0.194,-0.460,-0.394,,,,-0.641,0.395,-2.089,12,-0.67,-1.6,0.06283
60S ribosomal protein L28,P46779,-0.511,-1.988,-0.405,-0.312,-0.379,-0.087,,,,0.166,0.272,0.272,-0.579,-0.431,-0.405,,,,12,0.43,1.3,0.15639
60S ribosomal protein L29,P47914,0.054,0.239,-0.891,,,,0.239,0.650,-0.797,-0.173,0.186,-0.930,,,,-1.050,0.027,-0.585,12,-0.37,-1.3,0.32939
60S ribosomal protein L3,P39023,-0.685,-0.566,-0.128,,,,-0.152,-0.390,-0.336,-0.154,0.111,-0.512,,,,0.672,0.207,-1.934,12,0.29,1.2,0.78298
60S ribosomal protein L30,P62888,-0.446,-0.486,-1.018,-0.213,-0.307,-0.652,1.166,-0.242,0.223,0.138,-0.128,-0.101,-0.760,0.184,-0.294,-0.587,0.302,-2.904,18,-0.18,-1.1,0.54147
60S ribosomal protein L31,P62899,0.757,1.130,0.226,0.124,0.217,-0.288,0.289,-1.452,0.593,-0.704,0.492,-0.877,0.562,0.244,0.164,0.912,0.660,0.021,18,-0.05,-1.0,0.96681
60S ribosomal protein L32,P62910,,,,0.246,-0.259,-0.020,-0.047,-0.207,0.179,,,,-0.591,-0.034,-0.379,0.100,-0.471,-0.591,12,-0.30,-1.2,0.05892
60S ribosomal protein L35a,P18077,-0.811,-1.009,-0.478,,,,,,,-0.146,-0.080,-0.292,,,,,,,6,0.58,1.5,0.02373
60S ribosomal protein L36,Q9Y3U8,0.240,0.200,0.107,0.235,0.169,0.475,-0.050,0.827,0.069,0.081,0.426,0.040,-0.017,0.036,0.196,0.694,0.428,-0.874,18,-0.11,-1.1,0.42179
60S ribosomal protein L37a,P61513,-0.168,0.351,-0.831,-0.005,-0.510,-0.045,,,,-0.155,-0.194,-0.286,-0.231,-0.259,-0.231,,,,12,-0.07,-1.1,0.88722
60S ribosomal protein L38,P63173,,,,0.123,-0.289,-0.649,0.090,0.024,-0.376,,,,-0.568,-0.263,-0.236,0.582,0.090,-2.291,12,-0.08,-1.1,0.53850
60S ribosomal protein L4,P36578,0.092,1.381,0.119,0.991,-0.245,1.283,0.432,0.485,0.127,-0.188,1.088,-0.308,0.978,-0.711,-0.113,0.845,0.499,-0.205,18,-0.28,-1.2,0.30181
60S ribosomal protein L5,P46777,-0.544,-0.344,0.387,0.323,-0.888,1.040,-0.045,1.004,0.021,0.161,0.041,-1.088,-0.622,-0.382,-0.859,0.512,-0.935,-1.946,18,-0.64,-1.6,0.05927
60S ribosomal protein L6,Q02878,-0.884,0.471,0.684,0.300,-0.257,0.473,-0.546,0.199,0.478,-0.219,0.896,-2.293,-0.496,-0.788,-0.577,0.425,-0.333,-1.568,18,-0.47,-1.4,0.09390
60S ribosomal protein L7,P18124,-0.147,0.371,0.305,,,,0.307,0.706,0.957,-0.187,0.850,0.371,,,,-0.145,-0.530,0.267,12,-0.28,-1.2,0.24567
60S ribosomal protein L7a,P62424,-0.493,0.052,0.185,0.362,0.149,0.615,0.129,0.156,0.051,0.106,-0.054,-0.319,-0.381,-0.594,-0.674,0.462,-0.588,-0.733,18,-0.41,-1.3,0.01740
60S ribosomal protein L8,P62917,0.131,0.290,0.914,0.824,0.637,1.993,0.361,0.547,0.759,0.742,0.675,-0.042,0.226,-1.515,0.545,0.879,-0.170,0.334,18,-0.51,-1.4,0.09889
60S ribosomal protein L9,P32969,-0.118,-0.051,0.028,0.325,-0.512,0.352,-0.195,0.312,-0.180,-0.238,0.028,-0.317,-0.765,-0.047,-0.021,0.378,-0.115,-0.870,18,-0.19,-1.1,0.20687
6-phosphofructokinase type C,Q01813,-0.249,-0.434,-3.559,-0.937,-0.605,-1.602,-2.734,-0.315,-1.498,0.748,0.602,-1.179,0.803,-1.588,-0.141,1.837,-2.122,0.761,18,1.43,2.7,0.04182
"6-phosphofructokinase, liver type",P17858,-0.433,0.391,0.511,-0.117,-0.727,0.349,-1.936,-0.660,0.614,-0.047,-0.087,-2.958,-0.168,-0.594,-1.365,-0.063,-0.408,-0.169,18,-0.40,-1.3,0.32469
"6-phosphofructokinase, muscle type",P08237,-1.430,0.296,0.388,-0.284,-0.456,-0.496,-1.699,-0.038,-0.834,-0.036,0.349,-2.054,-0.430,-0.576,-0.244,0.414,0.161,-0.490,18,0.17,1.1,0.60170
"6-phosphogluconate dehydrogenase, decarboxylating",P52209,-0.130,1.119,-0.024,1.225,0.096,1.385,0.180,0.407,0.605,1.438,1.119,-0.993,0.255,-2.003,1.571,2.041,-0.991,0.287,18,0.15,1.1,0.63982
6-phosphogluconolactonase,O95336,0.062,1.072,0.527,-0.516,-0.542,0.017,-2.764,0.546,-0.624,0.103,0.567,-3.986,0.442,-1.167,0.110,0.918,-0.305,0.572,18,0.07,1.0,0.92662
78 kDa glucose-regulated protein,P11021,0.694,-0.023,1.265,-0.683,0.659,0.659,0.758,0.493,0.479,0.893,-0.965,1.014,-0.125,1.271,1.098,0.161,1.636,-0.648,18,0.15,1.1,0.99199
7SK snRNA methylphosphate capping enzyme,Q7L2J0,-0.579,-0.327,0.310,-0.820,-0.021,0.497,-0.223,-0.050,-0.182,-0.446,-0.075,-0.021,-0.114,-0.432,-0.248,-0.169,-0.104,-0.409,18,-0.11,-1.1,0.64296
"Abhydrolase domain-containing protein 10, mitochondrial",Q9NUJ1,1.285,-0.495,-3.662,-0.454,0.144,-0.533,1.574,-0.021,0.019,-0.481,0.382,1.869,-0.999,0.835,-0.095,-1.773,0.538,-1.440,18,0.04,1.0,0.86543
Abhydrolase domain-containing protein 14B,Q96IU4,-0.396,0.747,0.774,0.168,-0.084,-1.133,-2.188,-1.817,0.120,0.388,-0.410,-4.040,-0.841,-1.029,-0.018,1.994,-1.846,0.799,18,0.30,1.2,0.84664
ABI gene family member 3,Q9P2A4,,,,0.877,0.213,0.147,,,,,,,0.040,-0.692,-0.080,,,,6,-0.66,-1.6,0.11375
Abl interactor 1,Q8IZP0,0.252,0.280,-1.740,0.047,-0.312,-0.630,-1.683,0.138,0.032,-0.251,0.399,-0.040,0.446,-0.378,-0.272,0.896,-0.513,0.032,18,0.34,1.3,0.17283
Absent in melanoma 1 protein,Q9Y4K1,,,,0.558,0.425,0.132,,,,,,,0.771,-0.133,0.612,,,,6,0.08,1.1,0.89094
Acetolactate synthase-like protein,A1L0T0,0.447,-0.150,0.128,0.091,0.144,0.012,0.366,-0.020,-0.512,0.234,-0.377,0.302,-0.135,0.343,0.130,0.484,0.100,0.166,18,0.08,1.1,0.52813
"Acetyl-CoA acetyltransferase, cytosolic",Q9BWD1,0.124,0.575,0.575,0.806,0.022,0.062,-1.104,1.183,0.372,0.071,0.177,-0.314,1.298,-1.426,0.447,-0.729,0.704,0.784,18,-0.10,-1.1,0.61960
"Acetyl-CoA acetyltransferase, mitochondrial",P24752,0.940,-0.283,-1.730,0.663,1.580,-2.299,2.185,-1.578,-0.035,0.873,-0.747,0.780,-1.449,0.663,0.676,0.312,0.736,-1.787,18,-0.33,-1.3,0.91448
"Acetyl-coenzyme A synthetase 2-like, mitochondrial",Q9NUB1,-0.036,-0.195,0.150,0.529,0.330,0.422,0.663,-0.717,1.208,-0.143,-0.820,1.226,-0.920,0.276,-0.454,0.305,0.809,-2.086,18,-0.27,-1.2,0.24362
Acid ceramidase,Q13510,0.425,0.199,-1.478,-0.499,0.166,0.019,0.513,-0.098,-0.179,-0.372,-0.637,0.757,-1.388,1.162,-0.566,0.155,-1.094,-0.403,18,-0.03,-1.0,0.64152
Acid trehalase-like protein 1,Q32M88,-0.213,-0.053,-0.186,,,,,,,-0.411,-0.371,-0.080,,,,,,,6,-0.13,-1.1,0.30090
Acidic leucine-rich nuclear phosphoprotein 32 family member A,P39687,-0.306,-0.227,-0.093,-0.160,-1.195,-0.664,-2.296,0.135,-0.954,0.132,-0.213,-2.031,-0.106,-0.080,-0.532,0.108,0.108,0.162,18,0.33,1.3,0.29857
Acidic leucine-rich nuclear phosphoprotein 32 family member B,Q92688,0.135,0.069,0.654,-0.127,-1.016,-1.391,-1.363,0.006,-0.859,0.454,-0.263,-3.727,0.045,-0.140,-0.048,-0.101,0.099,-0.459,18,0.09,1.1,0.95513
Acidic leucine-rich nuclear phosphoprotein 32 family member E,Q9BTT0,1.551,0.860,0.634,0.758,0.678,-0.743,-1.047,0.574,0.243,-0.163,1.245,-1.292,1.143,0.452,0.545,0.813,1.199,1.053,18,0.15,1.1,0.67443
"Aconitate hydratase, mitochondrial",Q99798,-0.217,-1.518,-0.429,-0.311,1.257,-1.109,1.857,-1.599,0.621,0.208,-1.001,1.351,-2.388,0.819,0.128,-2.078,0.608,-1.014,18,-0.22,-1.2,0.72399
"Actin, alpha cardiac muscle 1",P68032,,,,0.638,0.385,0.717,,,,,,,-0.173,0.040,0.106,,,,6,-0.59,-1.5,0.01077
"Actin, alpha skeletal muscle",P68133,-0.133,-0.199,-0.240,,,,,,,-0.240,0.013,-0.425,,,,,,,6,-0.02,-1.0,0.84889
"Actin, cytoplasmic 1",P60709,,,,,,,-0.106,-0.106,0.160,,,,,,,0.119,-0.438,-0.026,6,-0.08,-1.1,0.63299
"Actin, cytoplasmic 2",P63261,0.486,0.460,0.659,1.361,1.148,1.427,,,,-0.098,1.137,-3.565,-0.459,-2.372,-2.026,,,,12,-1.43,-2.7,0.01418
Actin-like protein 6A,O96019,0.460,-1.986,0.127,0.450,0.529,-0.961,0.832,-0.868,-0.271,1.004,-0.907,1.350,-0.721,0.356,0.396,0.247,-0.298,0.407,18,0.34,1.3,0.33541
Actin-related protein 10,Q9NZ32,-0.045,-0.125,0.712,-0.331,-0.238,-0.105,-0.341,-0.579,0.589,-0.152,0.486,-2.039,-0.119,-0.119,-0.252,-0.579,0.510,-0.766,18,-0.20,-1.1,0.34364
Actin-related protein 2,P61160,0.633,0.606,1.218,0.813,-0.238,1.012,0.229,0.388,1.304,0.819,0.102,-2.327,-0.037,-0.740,0.241,1.132,-2.961,0.959,18,-0.57,-1.5,0.07397
Actin-related protein 2/3 complex subunit 1B,O15143,-0.831,-0.219,-0.020,-0.092,-0.185,-0.529,-0.538,-0.380,-0.034,0.006,-0.778,-1.895,-0.556,-1.899,-0.476,0.059,-1.735,-1.109,18,-0.46,-1.4,0.03830
Actin-related protein 2/3 complex subunit 2,O15144,1.148,0.856,1.042,1.332,0.854,0.907,1.054,1.002,1.187,0.231,0.776,-0.659,0.122,0.202,-0.023,1.108,-1.190,0.231,18,-0.83,-1.8,0.00092
Actin-related protein 2/3 complex subunit 3,O15145,0.686,0.513,0.460,0.774,0.681,0.122,0.546,-0.105,0.759,-0.697,0.168,-0.630,-0.009,-0.726,-0.342,0.293,-1.979,0.985,18,-0.65,-1.6,0.01361
Actin-related protein 2/3 complex subunit 4,P59998,-0.564,-0.551,0.553,0.739,-0.112,0.180,0.490,-0.308,0.742,0.592,0.034,-1.493,-0.285,-2.118,0.166,0.596,-2.643,-0.308,18,-0.47,-1.4,0.10894
Actin-related protein 2/3 complex subunit 5,O15511,-0.147,0.144,0.132,-0.809,0.108,-0.024,-1.078,0.530,-0.770,0.104,0.981,-4.098,0.162,-1.101,-1.220,0.145,-2.098,0.385,18,-0.09,-1.1,0.35032
Actin-related protein 2/3 complex subunit 5-like protein,Q9BPX5,0.301,0.088,-0.111,0.292,0.531,0.120,-0.022,0.629,0.336,-0.535,0.580,-0.376,0.173,-0.146,-1.023,-0.580,-0.301,-0.115,18,-0.45,-1.4,0.01126
Actin-related protein 3,P61158,0.785,0.134,0.666,0.907,0.575,0.694,0.394,-0.019,0.767,-0.331,0.107,-1.499,-0.090,-2.162,-0.063,1.084,-3.184,0.820,18,-0.68,-1.6,0.03137
Actin-related protein 5,Q9H9F9,,,,-0.066,-0.173,-1.077,,,,,,,-1.194,-0.066,-0.783,,,,6,-0.23,-1.2,0.62572
Activated RNA polymerase II transcriptional coactivator p15,P53999,0.491,-0.731,-0.916,0.148,-0.396,-0.343,0.131,-0.189,0.290,0.425,0.227,-0.479,0.082,-0.184,-0.290,-0.454,-0.294,-0.467,18,-0.02,-1.0,0.96422
Activating signal cointegrator 1 complex subunit 2,Q9H1I8,,,,2.033,2.511,2.339,,,,,,,2.844,0.771,1.767,,,,6,-0.27,-1.2,0.46112
Activating transcription factor 7-interacting protein 1,Q6VMQ6,,,,-0.656,-0.206,-0.855,-0.221,0.577,-0.792,,,,-0.311,-0.298,-0.457,-0.671,-0.804,-0.871,12,-0.28,-1.2,0.40490
Activator of 90 kDa heat shock protein ATPase homolog 1,O95433,-0.178,0.206,-2.203,0.436,-0.095,-0.760,-2.090,0.075,0.101,0.353,0.260,1.216,0.303,-0.242,0.011,0.527,0.168,0.872,18,0.71,1.6,0.02590
Activity-dependent neuroprotector homeobox protein,Q9H2P0,-0.425,-0.371,-0.624,,,,,,,-0.584,-0.664,-0.213,,,,,,,6,0.00,1.0,0.93523
"Acyl carrier protein, mitochondrial",O14561,0.357,-0.468,-3.332,-0.549,-0.309,-0.549,0.723,-0.074,-0.394,-1.104,0.144,1.380,-1.199,0.501,-0.920,-2.519,0.896,-1.656,18,0.22,1.2,0.98236
Acylamino-acid-releasing enzyme,P13798,-0.048,0.177,-0.036,-0.283,-0.203,-0.243,-0.783,-0.013,0.027,-0.513,0.549,-2.055,-0.403,-0.548,-0.243,0.797,-1.741,-0.212,18,-0.11,-1.1,0.32295
"Acyl-CoA dehydrogenase family member 9, mitochondrial",Q9H845,-0.397,0.360,-0.940,-0.548,-0.150,-0.177,0.215,-0.541,0.188,0.227,-1.923,0.680,-0.536,-0.390,-0.191,-0.037,-1.062,-0.756,18,-0.11,-1.1,0.45657
"Acyl-CoA synthetase family member 2, mitochondrial",Q96CM8,0.253,0.040,0.465,0.250,0.171,0.184,0.307,0.918,-1.077,-0.331,-0.239,0.572,0.065,0.117,-0.028,-0.465,0.984,0.094,18,-0.09,-1.1,0.72735
"Acyl-CoA synthetase family member 3, mitochondrial",Q4G176,-0.803,-1.481,-0.377,-0.718,0.756,-0.560,0.778,-0.537,-0.325,1.083,-1.293,0.978,-0.877,-0.001,-0.493,-1.174,-0.564,-0.072,18,0.16,1.1,0.80283
Acyl-CoA-binding domain-containing protein 6,Q9BR61,-0.181,0.283,0.682,0.049,-0.217,0.395,,,,-0.088,0.216,-0.712,0.354,-0.191,-0.191,,,,12,-0.27,-1.2,0.22497
Acyl-CoA-binding protein,P07108,0.835,0.105,-2.018,-0.541,0.814,-2.230,-2.670,1.194,1.221,1.513,-2.459,-1.079,0.800,-1.591,-0.355,-0.054,-0.107,-2.689,18,-0.33,-1.3,0.67173
Acyl-coenzyme A thioesterase 13,Q9NPJ3,-0.060,0.113,-1.201,-1.467,0.099,-0.525,,,,-0.419,0.166,1.349,0.326,1.189,0.326,,,,12,1.00,2.0,0.02870
"Acyl-coenzyme A thioesterase 2, mitochondrial",P49753,0.732,-0.052,0.639,0.572,2.353,0.970,2.231,0.000,0.823,0.878,-1.169,2.286,-1.353,-0.452,1.223,1.088,-1.505,0.677,18,-0.46,-1.4,0.18659
"Acyl-coenzyme A thioesterase 9, mitochondrial",Q9Y305,-0.249,-0.328,-0.555,-0.017,0.276,-0.348,1.767,-0.081,0.146,0.190,-1.459,1.226,-1.000,-0.109,0.023,0.146,-2.049,-1.104,18,-0.41,-1.3,0.21484
Acyl-protein thioesterase 1,O75608,,,,0.076,-0.110,0.049,-1.046,-0.210,0.309,,,,-0.110,-0.401,0.196,1.252,-1.353,0.747,12,0.38,1.3,0.62629
Acyl-protein thioesterase 2,O95372,-0.232,-0.072,-0.218,-0.018,-0.402,-0.177,-1.054,0.117,-0.402,-0.458,-0.086,-0.471,0.142,-0.787,-0.295,-0.150,-0.469,0.421,18,0.04,1.0,0.84105
"Acylpyruvase FAHD1, mitochondrial",Q6P587,0.177,-0.301,-1.098,-0.251,-0.264,-0.092,0.021,-0.536,-0.443,0.322,0.149,0.468,-0.065,0.839,-0.450,-0.019,0.685,0.008,18,0.54,1.5,0.01096
Adaptin ear-binding coat-associated protein 2,Q9NVZ3,0.075,0.686,0.473,0.540,0.034,0.141,-0.216,0.463,0.077,-0.058,0.553,-0.549,0.354,-0.005,0.114,0.595,0.157,0.104,18,-0.10,-1.1,0.47194
Adenine phosphoribosyltransferase,P07741,0.097,0.309,1.213,0.420,-1.069,-0.350,-1.925,-0.198,-0.064,-0.434,0.575,-3.531,0.194,-1.454,0.487,0.905,-0.517,0.028,18,-0.08,-1.1,0.66273
Adenosine deaminase,P00813,-0.195,-0.804,0.510,-1.952,0.957,-0.172,-0.737,-0.683,-0.045,-0.022,-0.992,-0.420,0.041,-1.408,0.611,0.248,-1.283,0.579,18,0.02,1.0,0.89122
Adenosine kinase,P55263,1.166,-0.110,1.657,1.455,0.392,-1.045,-0.189,-0.296,1.844,-1.266,-1.292,-2.857,0.073,-4.579,1.003,-0.801,-2.235,-1.025,18,-1.60,-3.0,0.00708
Adenosylhomocysteinase,P23526,-0.527,0.085,-0.592,-1.124,-0.393,-1.189,-0.422,-0.037,-1.006,0.762,0.471,-3.552,-0.658,0.205,-0.193,0.894,-0.634,-2.149,18,0.44,1.4,0.94070
"Adenylate kinase 2, mitochondrial",P54819,0.105,-0.520,-0.333,-0.439,0.849,0.543,1.066,-1.165,0.667,0.144,-0.825,1.620,-2.433,1.142,0.530,-0.661,0.760,-0.475,18,0.12,1.1,0.82456
Adenylate kinase isoenzyme 1,P00568,0.032,-0.206,-0.393,-1.700,0.411,-1.157,-1.108,0.846,-1.651,0.790,0.219,-0.126,1.208,0.345,1.208,3.290,-3.569,2.507,18,1.79,3.5,0.11054
Adenylosuccinate lyase,P30566,-0.549,-0.709,0.687,-0.009,0.416,0.164,,,,1.072,-0.044,-0.603,-0.248,-0.595,0.125,,,,12,-0.01,-1.0,0.88712
Adenylosuccinate synthetase isozyme 2,P30520,0.171,-0.174,0.278,0.218,-0.074,0.722,-0.708,-0.030,-0.056,-0.134,-0.080,-1.356,-0.115,-2.012,-0.035,0.501,-1.158,0.155,18,-0.37,-1.3,0.11607
Adenylyl cyclase-associated protein 1,Q01518,0.239,0.040,-0.013,0.346,0.080,0.545,-0.637,0.132,0.557,-0.092,0.239,-3.083,-0.571,-1.090,-1.980,0.503,-2.429,-0.797,18,-0.81,-1.8,0.01434
Adipocyte plasma membrane-associated protein,Q9HDC9,0.340,0.020,0.127,0.393,0.619,0.393,1.540,-0.373,0.557,0.114,0.685,1.602,-0.431,1.495,0.419,-0.520,0.636,1.048,18,0.24,1.2,0.61044
ADP/ATP translocase 2,P05141,0.211,-1.490,-0.891,0.117,0.276,0.090,0.377,0.085,1.214,0.889,0.118,1.247,-0.270,-0.004,-0.123,-0.433,0.245,-1.402,18,0.04,1.0,0.93324
ADP-dependent glucokinase,Q9BRR6,0.486,0.473,0.181,0.672,0.805,0.965,1.220,-2.185,1.140,0.313,-0.590,0.832,-2.822,0.632,1.443,0.661,-0.029,0.888,18,-0.16,-1.1,0.62504
"ADP-ribose pyrophosphatase, mitochondrial",Q9BW91,,,,-0.253,0.119,-0.358,,,,,,,-0.186,-0.333,-0.466,,,,6,-0.17,-1.1,0.37868
ADP-ribosylation factor 1,P84077,,,,0.226,-0.504,0.584,-0.651,0.292,0.133,,,,-0.053,-0.891,-0.306,0.359,-0.517,-0.558,12,-0.35,-1.3,0.22889
ADP-ribosylation factor 3,P61204,0.824,0.318,0.891,,,,,,,0.531,0.824,-2.218,,,,,,,6,-0.51,-1.4,0.38278
ADP-ribosylation factor 4,P18085,-0.006,0.512,0.645,0.214,-0.264,0.613,-0.606,0.443,-0.035,0.579,-0.140,-1.429,0.109,-0.675,0.162,0.695,-0.488,0.150,18,-0.22,-1.2,0.29761
ADP-ribosylation factor 6,P62330,-0.085,0.195,0.420,0.168,-0.723,0.021,-0.428,0.395,-0.097,-0.164,0.048,-3.834,-0.855,-1.081,-0.949,-0.773,-0.906,-1.610,18,-0.88,-1.8,0.01271
ADP-ribosylation factor GTPase-activating protein 1,Q8N6T3,,,,0.143,0.795,-0.600,0.507,0.454,0.547,,,,0.968,0.742,0.636,-0.091,0.787,0.481,12,0.25,1.2,0.29174
ADP-ribosylation factor GTPase-activating protein 2,Q8N6H7,,,,-0.070,-0.029,0.142,1.119,0.215,0.030,,,,0.169,0.011,0.249,-0.355,-0.514,-0.023,12,-0.35,-1.3,0.18527
ADP-ribosylation factor-binding protein GGA1,Q9UJY5,0.270,0.749,-0.115,0.129,0.221,0.314,,,,0.576,0.895,-1.166,0.407,0.274,-0.137,,,,12,-0.01,-1.0,0.71421
ADP-ribosylation factor-binding protein GGA2,Q9UJY4,-0.216,-1.639,0.620,-0.420,-1.987,0.283,-0.810,-0.199,-0.571,0.262,0.248,-1.851,-0.088,-0.209,-0.155,-0.159,-0.544,-0.292,18,0.14,1.1,0.50430
ADP-ribosylation factor-like protein 1,P40616,0.184,0.516,0.170,0.082,0.069,0.201,,,,0.197,-0.255,0.210,-0.011,0.454,0.228,,,,12,-0.06,-1.0,0.58936
ADP-ribosylation factor-like protein 3,P36405,,,,,,,-0.730,-0.026,0.094,,,,,,,0.066,0.225,-0.039,6,0.27,1.2,0.31904
ADP-ribosylation factor-like protein 6-interacting protein 4,Q66PJ3,-0.148,-0.348,-0.016,0.035,-0.244,-0.058,-0.111,0.087,-0.310,0.236,-0.030,-0.269,0.128,-0.151,-0.284,-0.390,0.128,0.021,18,0.06,1.0,0.53568
