"","Protein.Name","Accession.Number","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"512","Lymphocyte-specific protein 1 OS=Homo sapiens GN=LSP1 PE=1 SV=1","sp|P33241|LSP1_HUMAN",0.99,1.1,0.79,NA,NA,NA,0.95,1.04,0.96,NA,NA,NA
"513","Protocadherin Fat 4 OS=Homo sapiens GN=FAT4 PE=2 SV=2","sp|Q6V0I7|FAT4_HUMAN",0.7,0.57,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","Acyl-CoA-binding protein OS=Homo sapiens GN=DBI PE=1 SV=2","sp|P07108|ACBP_HUMAN",1.2,1.15,0.78,0.5,1.02,1.13,1.46,0.98,0.95,1.05,1.58,NA
"515","Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4","sp|P08238|HS90B_HUMAN",0.84,1.56,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2","sp|P26583|HMGB2_HUMAN",0.82,0.87,0.78,0.93,NA,1.15,0.56,0.6,0.78,NA,NA,1.28
"517","Pro-interleukin-16 OS=Homo sapiens GN=IL16 PE=1 SV=4","sp|Q14005|IL16_HUMAN",0.95,1.34,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","H/ACA ribonucleoprotein complex subunit 4 OS=Homo sapiens GN=DKC1 PE=1 SV=3","sp|O60832|DKC1_HUMAN",0.91,1.08,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","Arachidonate 5-lipoxygenase-activating protein OS=Homo sapiens GN=ALOX5AP PE=1 SV=2","sp|P20292|AL5AP_HUMAN",0.97,0.86,0.76,NA,NA,NA,NA,NA,NA,1.09,0.7,NA
"520","60S acidic ribosomal protein P0-like OS=Homo sapiens PE=1 SV=1","sp|Q8NHW5|RLA0L_HUMAN",0.77,1.09,0.76,NA,NA,NA,1.21,0.88,0.71,NA,NA,NA
"521","Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2","sp|P06748|NPM_HUMAN",0.82,0.94,0.76,0.75,0.93,0.72,0.68,1.32,1.02,1.03,1.04,NA
"522","Heat shock protein HSP 90-alpha OS=Homo sapiens GN=HSP90AA1 PE=1 SV=5","sp|P07900|HS90A_HUMAN",0.79,1.58,0.76,NA,NA,NA,0.81,0.69,0.47,NA,NA,NA
"523","Putative high mobility group protein 1-like 10 OS=Homo sapiens GN=HMGB1L10 PE=5 SV=1","sp|Q9UGV6|HMGLX_HUMAN",0.78,1.18,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2","sp|P0C0S5|H2AZ_HUMAN",0.95,0.65,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","Annexin A6 OS=Homo sapiens GN=ANXA6 PE=1 SV=3","sp|P08133|ANXA6_HUMAN",0.81,0.77,0.76,0.75,0.67,0.67,0.53,0.58,0.58,0.62,0.85,NA
"526","Uncharacterized protein C1orf77 OS=Homo sapiens GN=C1orf77 PE=1 SV=2","sp|Q9Y3Y2|CA077_HUMAN",1.49,0.65,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2","sp|P23588|IF4B_HUMAN",0.79,0.93,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","Tyrosine-protein phosphatase non-receptor type 6 OS=Homo sapiens GN=PTPN6 PE=1 SV=1","sp|P29350|PTN6_HUMAN",0.84,1.47,0.75,NA,NA,NA,0.5,0.33,0.34,NA,NA,NA
"529","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3","sp|P04406|G3P_HUMAN",0.76,1.55,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","ATPase family AAA domain-containing protein 3A OS=Homo sapiens GN=ATAD3A PE=1 SV=2","sp|Q9NVI7|ATD3A_HUMAN",0.93,1.07,0.75,NA,NA,NA,1.07,1.33,0.81,NA,NA,NA
"531","Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1","sp|P61626|LYSC_HUMAN",0.6,1.62,0.75,1.19,1.27,1.54,NA,NA,NA,NA,NA,NA
"532","Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2","sp|P07437|TBB5_HUMAN",0.77,1.4,0.75,NA,NA,NA,1.29,0.94,0.77,NA,NA,NA
"533","40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3","sp|P62269|RS18_HUMAN",0.91,0.91,0.74,0.92,0.78,1.01,0.93,0.76,0.96,0.99,0.95,NA
"534","Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1","sp|Q06830|PRDX1_HUMAN",0.61,0.65,0.74,0.72,0.88,0.71,0.91,0.93,0.77,0.82,0.77,NA
"535","Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1","sp|Q9Y5Z4|HEBP2_HUMAN",0.71,0.72,0.74,1.1,1.21,1.02,NA,NA,NA,NA,NA,NA
"536","Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1 PE=1 SV=2","sp|P14317|HCLS1_HUMAN",0.74,1.47,0.73,NA,NA,NA,0.81,0.78,0.7,NA,NA,NA
"537","Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2","sp|Q6IBS0|TWF2_HUMAN",0.94,0.74,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","T-box transcription factor TBX10 OS=Homo sapiens GN=TBX10 PE=2 SV=2","sp|O75333|TBX10_HUMAN",1.04,0.79,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","NHP2-like protein 1 OS=Homo sapiens GN=NHP2L1 PE=1 SV=3","sp|P55769|NH2L1_HUMAN",1.16,1.02,0.71,1.23,1.24,1.11,0.87,1.06,0.77,1.09,0.99,1.48
"540","Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3","sp|P29401|TKT_HUMAN",0.85,1.05,0.71,0.92,1.5,1.29,NA,NA,NA,NA,NA,NA
"541","Elongation factor Tu, mitochondrial OS=Homo sapiens GN=TUFM PE=1 SV=2","sp|P49411|EFTU_HUMAN",0.75,2.05,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","DNA-(apurinic or apyrimidinic site) lyase OS=Homo sapiens GN=APEX1 PE=1 SV=2","sp|P27695|APEX1_HUMAN",0.96,0.76,0.71,NA,NA,NA,0.8,1.03,0.85,NA,NA,NA
"543","Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=5","sp|P13796|PLSL_HUMAN",0.67,2.07,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1","sp|O95831|AIFM1_HUMAN",0.99,0.8,0.69,NA,NA,NA,NA,NA,NA,0.81,0.91,NA
"545","Histone H2B type 1-D OS=Homo sapiens GN=HIST1H2BD PE=1 SV=2","sp|P58876|H2B1D_HUMAN",1.45,0.83,0.69,NA,NA,NA,0.94,0.81,0.76,NA,NA,NA
"546","Transcription factor HES-2 OS=Homo sapiens GN=HES2 PE=2 SV=1","sp|Q9Y543|HES2_HUMAN",1.1,0.67,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","Tyrosine-protein kinase SYK OS=Homo sapiens GN=SYK PE=1 SV=1","sp|P43405|KSYK_HUMAN",0.92,0.93,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1","sp|P63279|UBC9_HUMAN",0.72,1.23,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1","sp|Q06830|PRDX1_HUMAN",1.08,1.3,0.67,0.87,1.31,1.55,0.62,0.74,0.57,1.07,1.01,0.96
"550","14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1","sp|P63104|1433Z_HUMAN",0.75,1.61,0.66,NA,NA,NA,0.74,0.64,0.62,NA,NA,NA
"551","U2 small nuclear ribonucleoprotein A' OS=Homo sapiens GN=SNRPA1 PE=1 SV=2","sp|P09661|RU2A_HUMAN",0.9,0.87,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","Triosephosphate isomerase OS=Homo sapiens GN=TPI1 PE=1 SV=2","sp|P60174|TPIS_HUMAN",0.49,2.04,0.65,NA,NA,NA,0.45,0.32,0.32,NA,NA,NA
"553","Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=1","sp|P06753|TPM3_HUMAN",0.54,1.8,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","Protein S100-A8 OS=Homo sapiens GN=S100A8 PE=1 SV=1","sp|P05109|S10A8_HUMAN",0.53,1.59,0.63,0.65,NA,1.09,0.44,0.57,0.44,NA,NA,0.69
"555","Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1","sp|P61626|LYSC_HUMAN",0.55,1.45,0.63,1.18,NA,1.97,0.44,1.07,0.6,NA,NA,0.8
"556","40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2","sp|P39019|RS19_HUMAN",0.76,0.99,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 OS=Homo sapiens GN=INPP5D PE=1 SV=2","sp|Q92835|SHIP1_HUMAN",0.73,1.02,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","CapZ-interacting protein OS=Homo sapiens GN=RCSD1 PE=1 SV=1","sp|Q6JBY9|CPZIP_HUMAN",1.21,1.14,0.6,NA,NA,NA,1.25,1.22,1.14,NA,NA,NA
"559","Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2","sp|P62937|PPIA_HUMAN",0.69,2.03,0.59,0.66,1.12,0.66,0.34,0.39,0.45,1.42,1.12,0.96
"560","Receptor-type tyrosine-protein phosphatase C OS=Homo sapiens GN=PTPRC PE=1 SV=2","sp|P08575|PTPRC_HUMAN",0.57,1.22,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3","sp|P16401|H15_HUMAN",2.15,0.69,0.54,0.72,0.71,1.07,0.74,1.03,1.08,0.95,1.29,1.33
"562","Cathepsin G OS=Homo sapiens GN=CTSG PE=1 SV=2","sp|P08311|CATG_HUMAN",0.52,1.34,0.52,NA,NA,NA,0.57,1.48,0.74,NA,NA,NA
"563","Splicing factor, arginine/serine-rich 6 OS=Homo sapiens GN=SFRS6 PE=1 SV=2","sp|Q13247|SFRS6_HUMAN",0.89,0.36,0.5,NA,NA,NA,1.21,1.07,1.52,NA,NA,NA
"564","Lipase member I OS=Homo sapiens GN=LIPI PE=1 SV=2","sp|Q6XZB0|LIPI_HUMAN",1.64,0.93,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","Rho GDP-dissociation inhibitor 2 OS=Homo sapiens GN=ARHGDIB PE=1 SV=3","sp|P52566|GDIR2_HUMAN",0.51,2.63,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","Myeloperoxidase OS=Homo sapiens GN=MPO PE=1 SV=1","sp|P05164|PERM_HUMAN",0.36,1.28,0.44,0.64,NA,0.88,0.39,1.47,0.48,NA,NA,0.5
"567","Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4","sp|Q13185|CBX3_HUMAN",1.18,0.85,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","Protein S100-A9 OS=Homo sapiens GN=S100A9 PE=1 SV=1","sp|P06702|S10A9_HUMAN",0.3,1.21,0.39,0.48,NA,0.97,0.45,0.63,0.42,NA,NA,0.41
"569","Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6","sp|P02788|TRFL_HUMAN",0.32,1.62,0.38,NA,NA,NA,0.34,1.22,0.48,NA,NA,NA
"570","Azurocidin OS=Homo sapiens GN=AZU1 PE=1 SV=3","sp|P20160|CAP7_HUMAN",0.36,1.48,0.35,NA,NA,NA,0.42,1.04,0.4,NA,NA,NA
"571","Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2","sp|P02768|ALBU_HUMAN",NA,NA,NA,NA,NA,NA,2.48,1.48,0.56,NA,NA,NA
"572","HLA class I histocompatibility antigen, B-38 alpha chain OS=Homo sapiens GN=HLA-B PE=2 SV=1","sp|Q95365|1B38_HUMAN",NA,NA,NA,NA,NA,NA,2.09,1.5,1.52,NA,NA,NA
"573","Fermitin family homolog 3 OS=Homo sapiens GN=FERMT3 PE=1 SV=1","sp|Q86UX7|URP2_HUMAN",NA,NA,NA,NA,NA,NA,1.73,1.04,1.15,NA,NA,NA
"574","60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4","sp|P26373|RL13_HUMAN",NA,NA,NA,NA,NA,NA,1.55,1.11,0.93,NA,NA,NA
"575","Cytochrome c oxidase subunit 2 OS=Homo sapiens GN=MT-CO2 PE=1 SV=1","sp|P00403|COX2_HUMAN",NA,NA,NA,NA,NA,NA,1.51,1.44,1.86,NA,NA,NA
"576","Ferritin light chain OS=Homo sapiens GN=FTL PE=1 SV=2","sp|P02792|FRIL_HUMAN",NA,NA,NA,0.95,0.94,1.35,1.48,0.65,0.98,NA,NA,NA
"577","Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4","sp|Q9Y4G6|TLN2_HUMAN",NA,NA,NA,NA,NA,NA,1.47,1.09,1.04,NA,NA,NA
"578","Gamma-interferon-inducible protein 16 OS=Homo sapiens GN=IFI16 PE=1 SV=3","sp|Q16666|IF16_HUMAN",NA,NA,NA,NA,NA,NA,1.47,1.02,1.11,NA,NA,NA
"579","Keratinocyte proline-rich protein OS=Homo sapiens GN=KPRP PE=1 SV=1","sp|Q5T749|KPRP_HUMAN",NA,NA,NA,NA,NA,NA,1.44,1.19,1.05,NA,NA,NA
"580","Putative 40S ribosomal protein S26-like 1 OS=Homo sapiens GN=RPS26P11 PE=5 SV=1","sp|Q5JNZ5|RS26L_HUMAN",NA,NA,NA,NA,NA,NA,1.42,0.91,1.14,NA,NA,NA
"581","Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=3","sp|Q13557|KCC2D_HUMAN",NA,NA,NA,NA,NA,NA,1.41,1.35,1.21,NA,NA,NA
"582","Ras-related protein Rab-5C OS=Homo sapiens GN=RAB5C PE=1 SV=2","sp|P51148|RAB5C_HUMAN",NA,NA,NA,NA,NA,NA,1.4,1.14,1.21,NA,NA,NA
"583","Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2","sp|P07355|ANXA2_HUMAN",NA,NA,NA,NA,NA,NA,1.39,1.94,1.31,NA,NA,NA
"584","Intercellular adhesion molecule 3 OS=Homo sapiens GN=ICAM3 PE=1 SV=2","sp|P32942|ICAM3_HUMAN",NA,NA,NA,NA,NA,NA,1.38,1.56,0.99,NA,NA,NA
"585","Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4","sp|Q15424|SAFB1_HUMAN",NA,NA,NA,NA,NA,NA,1.38,1,1.33,NA,NA,NA
"586","Histone H1.2 OS=Homo sapiens GN=HIST1H1C PE=1 SV=2","sp|P16403|H12_HUMAN",NA,NA,NA,NA,NA,NA,1.33,1.3,0.65,NA,NA,NA
"587","Calmegin OS=Homo sapiens GN=CLGN PE=1 SV=1","sp|O14967|CLGN_HUMAN",NA,NA,NA,NA,NA,NA,1.32,1.3,1,NA,NA,NA
"588","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1","sp|P13073|COX41_HUMAN",NA,NA,NA,NA,NA,NA,1.29,2.12,1.4,NA,NA,NA
"589","40S ribosomal protein S17 OS=Homo sapiens GN=RPS17 PE=1 SV=2","sp|P08708|RS17_HUMAN",NA,NA,NA,NA,NA,NA,1.28,1.08,1.21,NA,NA,NA
"590","60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2","sp|P62424|RL7A_HUMAN",NA,NA,NA,NA,NA,NA,1.27,0.9,0.85,NA,NA,NA
"591","60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1","sp|P18124|RL7_HUMAN",NA,NA,NA,NA,NA,NA,1.27,1.14,1.13,NA,NA,NA
"592","Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4","sp|P28070|PSB4_HUMAN",NA,NA,NA,NA,NA,NA,1.27,1.17,1.11,NA,NA,NA
"593","Clathrin light chain A OS=Homo sapiens GN=CLTA PE=1 SV=1","sp|P09496|CLCA_HUMAN",NA,NA,NA,NA,NA,NA,1.25,1.27,1.01,NA,NA,NA
"594","Uncharacterized protein C1orf14 OS=Homo sapiens GN=C1orf14 PE=1 SV=2","sp|Q9BZQ2|CA014_HUMAN",NA,NA,NA,NA,NA,NA,1.24,1.2,0.98,NA,NA,NA
"595","Splicing factor, arginine/serine-rich 9 OS=Homo sapiens GN=SFRS9 PE=1 SV=1","sp|Q13242|SFRS9_HUMAN",NA,NA,NA,NA,NA,NA,1.24,1,0.91,NA,NA,NA
"596","60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2","sp|P61313|RL15_HUMAN",NA,NA,NA,NA,NA,NA,1.24,1.18,0.95,NA,NA,NA
"597","FACT complex subunit SSRP1 OS=Homo sapiens GN=SSRP1 PE=1 SV=1","sp|Q08945|SSRP1_HUMAN",NA,NA,NA,NA,NA,NA,1.21,1.43,1.45,NA,NA,NA
"598","Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens GN=SNRPN PE=1 SV=1","sp|P63162|RSMN_HUMAN",NA,NA,NA,NA,NA,NA,1.21,1.27,1.07,NA,NA,NA
"599","40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=1 SV=1","sp|P62753|RS6_HUMAN",NA,NA,NA,NA,NA,NA,1.2,0.81,0.84,NA,NA,NA
"600","4-trimethylaminobutyraldehyde dehydrogenase OS=Homo sapiens GN=ALDH9A1 PE=1 SV=3","sp|P49189|AL9A1_HUMAN",NA,NA,NA,NA,NA,NA,1.19,1.1,0.9,NA,NA,NA
"601","Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2","sp|Q9HDC9|APMAP_HUMAN",NA,NA,NA,NA,NA,NA,1.19,1.36,1.09,NA,NA,NA
"602","ADP/ATP translocase 3 OS=Homo sapiens GN=SLC25A6 PE=1 SV=4","sp|P12236|ADT3_HUMAN",NA,NA,NA,1.19,1.06,1.13,1.19,1.31,1.5,NA,NA,NA
"603","DNA topoisomerase 2-beta OS=Homo sapiens GN=TOP2B PE=1 SV=3","sp|Q02880|TOP2B_HUMAN",NA,NA,NA,NA,NA,NA,1.18,1.01,1.15,NA,NA,NA
"604","Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens GN=ANP32B PE=1 SV=1","sp|Q92688|AN32B_HUMAN",NA,NA,NA,NA,NA,NA,1.17,1.22,1.26,NA,NA,NA
"605","U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2","sp|P08621|RU17_HUMAN",NA,NA,NA,0.99,NA,0.93,1.17,1.09,1,NA,NA,1.05
"606","Non-histone chromosomal protein HMG-14 OS=Homo sapiens GN=HMGN1 PE=1 SV=3","sp|P05114|HMGN1_HUMAN",NA,NA,NA,NA,NA,NA,1.16,0.85,1.17,NA,NA,NA
"607","Septin-11 OS=Homo sapiens GN=SEPT11 PE=1 SV=3","sp|Q9NVA2|SEP11_HUMAN",NA,NA,NA,NA,NA,NA,1.16,1.05,1.1,NA,NA,NA
"608","60S ribosomal protein L36a OS=Homo sapiens GN=RPL36A PE=1 SV=2","sp|P83881|RL36A_HUMAN",NA,NA,NA,NA,NA,NA,1.14,0.75,0.87,NA,NA,NA
"609","rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2","sp|P22087|FBRL_HUMAN",NA,NA,NA,NA,NA,NA,1.14,0.98,0.96,NA,NA,NA
"610","Splicing factor, arginine/serine-rich 5 OS=Homo sapiens GN=SFRS5 PE=1 SV=1","sp|Q13243|SFRS5_HUMAN",NA,NA,NA,NA,NA,NA,1.13,1.21,1.29,NA,NA,NA
"611","Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1","sp|Q13595|TRA2A_HUMAN",NA,NA,NA,NA,NA,NA,1.12,1.2,1.01,NA,NA,NA
"612","Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3","sp|P63244|GBLP_HUMAN",NA,NA,NA,NA,NA,NA,1.12,1.1,0.91,NA,NA,NA
"613","ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2","sp|Q15717|ELAV1_HUMAN",NA,NA,NA,1.17,NA,1.18,1.12,1.04,1.17,NA,NA,1.13
"614","Adenine phosphoribosyltransferase OS=Homo sapiens GN=APRT PE=1 SV=2","sp|P07741|APT_HUMAN",NA,NA,NA,NA,NA,NA,1.12,1.19,1.44,NA,NA,NA
"615","Serine/threonine-protein kinase VRK1 OS=Homo sapiens GN=VRK1 PE=1 SV=1","sp|Q99986|VRK1_HUMAN",NA,NA,NA,NA,NA,NA,1.11,1.02,0.98,NA,NA,NA
"616","Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1","sp|P17844|DDX5_HUMAN",NA,NA,NA,NA,NA,NA,1.11,1.05,1.23,NA,NA,NA
"617","TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1","sp|Q92804|RBP56_HUMAN",NA,NA,NA,NA,NA,NA,1.11,1.12,0.99,NA,NA,NA
"618","60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2","sp|P62906|RL10A_HUMAN",NA,NA,NA,NA,NA,NA,1.11,1.29,0.67,NA,NA,NA
"619","RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2","sp|Q14498|RBM39_HUMAN",NA,NA,NA,NA,NA,NA,1.1,0.88,1.16,NA,NA,NA
"620","Probable transcription factor PML OS=Homo sapiens GN=PML PE=1 SV=3","sp|P29590|PML_HUMAN",NA,NA,NA,NA,NA,NA,1.1,2.39,1.07,NA,NA,NA
"621","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens GN=GNB2 PE=1 SV=3","sp|P62879|GBB2_HUMAN",NA,NA,NA,NA,NA,NA,1.09,0.77,0.88,NA,NA,NA
"622","60S ribosomal protein L5 OS=Homo sapiens GN=RPL5 PE=1 SV=3","sp|P46777|RL5_HUMAN",NA,NA,NA,NA,NA,NA,1.09,0.95,0.78,NA,NA,NA
"623","Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2","sp|O60506|HNRPQ_HUMAN",NA,NA,NA,NA,NA,NA,1.08,0.88,1.06,NA,NA,NA
"624","Serrate RNA effector molecule homolog OS=Homo sapiens GN=SRRT PE=1 SV=1","sp|Q9BXP5|SRRT_HUMAN",NA,NA,NA,NA,NA,NA,1.08,1.68,1.28,NA,NA,NA
"625","Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2","sp|P78417|GSTO1_HUMAN",NA,NA,NA,NA,NA,NA,1.08,0.86,1.02,NA,NA,NA
"626","Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2","sp|P31150|GDIA_HUMAN",NA,NA,NA,NA,NA,NA,1.08,1.01,0.92,NA,NA,NA
"627","Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens GN=UBE2N PE=1 SV=1","sp|P61088|UBE2N_HUMAN",NA,NA,NA,NA,NA,NA,1.08,0.94,1.04,NA,NA,NA
"628","DNA-3-methyladenine glycosylase OS=Homo sapiens GN=MPG PE=1 SV=3","sp|P29372|3MG_HUMAN",NA,NA,NA,NA,NA,NA,1.07,1.18,0.98,NA,NA,NA
"629","Splicing factor, arginine/serine-rich 13A OS=Homo sapiens GN=SFRS13A PE=1 SV=1","sp|O75494|SF13A_HUMAN",1.13,NA,NA,NA,NA,NA,1.07,1.08,0.88,NA,NA,NA
"630","Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3","sp|Q9Y512|SAM50_HUMAN",NA,NA,NA,NA,NA,NA,1.07,1.39,1.25,NA,NA,NA
"631","Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1","sp|P55795|HNRH2_HUMAN",NA,NA,NA,NA,NA,NA,1.07,1.14,1.06,NA,NA,NA
"632","Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=1 SV=2","sp|Q92608|DOCK2_HUMAN",NA,NA,NA,NA,NA,NA,1.05,1.28,1.01,NA,NA,NA
"633","14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2","sp|P61981|1433G_HUMAN",NA,NA,NA,NA,NA,NA,1.05,1.09,1.07,NA,NA,NA
"634","Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens GN=CHD4 PE=1 SV=1","sp|Q14839|CHD4_HUMAN",NA,NA,NA,NA,NA,NA,1.05,0.91,1.05,NA,NA,NA
"635","Glutathione peroxidase 1 OS=Homo sapiens GN=GPX1 PE=1 SV=3","sp|P07203|GPX1_HUMAN",NA,NA,NA,NA,NA,NA,1.05,0.8,0.98,NA,NA,NA
"636","Lupus La protein OS=Homo sapiens GN=SSB PE=1 SV=2","sp|P05455|LA_HUMAN",NA,NA,NA,NA,NA,NA,1.04,0.82,1.05,1.16,1.09,NA
"637","Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1","sp|Q9BQE3|TBA1C_HUMAN",NA,NA,NA,0.99,0.78,0.91,1.03,0.66,1.1,NA,NA,NA
"638","Cytochrome b-c1 complex subunit 8 OS=Homo sapiens GN=UQCRQ PE=1 SV=4","sp|O14949|QCR8_HUMAN",NA,NA,NA,NA,NA,NA,1.01,1.26,1.16,NA,NA,NA
"639","Putative 40S ribosomal protein S10-like OS=Homo sapiens GN=RPS10P5 PE=5 SV=1","sp|Q9NQ39|RS10L_HUMAN",NA,NA,NA,NA,NA,NA,1,0.7,0.61,NA,NA,NA
"640","Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4","sp|P26368|U2AF2_HUMAN",NA,NA,NA,NA,NA,NA,1,1.14,0.98,NA,NA,NA
"641","Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1","sp|P61970|NTF2_HUMAN",NA,NA,NA,NA,NA,NA,1,1.01,0.74,NA,NA,NA
"642","6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2","sp|O95336|6PGL_HUMAN",NA,NA,NA,NA,NA,NA,1,0.98,1.06,NA,NA,NA
"643","Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 PE=1 SV=3","sp|Q09028|RBBP4_HUMAN",NA,NA,NA,NA,NA,NA,1,0.99,1.26,NA,NA,NA
